Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Category (product.metafields.altuzarra.category),Color (product.metafields.altuzarra.color),Details (product.metafields.altuzarra.details),Get the look (product.metafields.altuzarra.look_products),Status
marty-sweater-berry-blue,,,,,,,,,M,,,Berry Blue,,,,,840483423794,999.9897389,shopify,deny,manual,895,,TRUE,TRUE,,,,,840483423794,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8833_KCS042_351406_BERRY_BLUE_FINAL_model_image_1_004.jpg,3,,,,,,,,,,,,,,,,,,,,
marty-sweater-berry-blue,,,,,,,,,L,,,Berry Blue,,,,,840483423800,999.9897389,shopify,deny,manual,895,,TRUE,TRUE,,,,,840483423800,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8833_KCS042_351406_BERRY_BLUE_FINAL_model_image_2_007.jpg,4,,,,,,,,,,,,,,,,,,,,
marty-sweater-berry-blue,,,,,,,,,XL,,,Berry Blue,,,,,840483423817,999.9897389,shopify,deny,manual,895,,TRUE,TRUE,,,,,840483423817,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8833_KCS042_351406_BERRY_BLUE_FINAL_model_image_3_010.jpg,5,,,,,,,,,,,,,,,,,,,,
marty-sweater-berry-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8833_KCS042_351406_BERRY_BLUE_FINAL_model_image_4_029.jpg,6,,,,,,,,,,,,,,,,,,,,
thea-sweater-pale-blush,Thea Sweater,<p>The Thea Sweater is an effortless wardrobe building block. It's made from a soft merino wool-blend woven with touches of alpaca for a textural finish. Note the ribbed edges and button front fastenings.</p>,Altuzarra,Apparel & Accessories > Clothing > Shirts & Tops,KNIT TOP,"DTC BUY, S126, S126-8830 KWS068 000689 PALE BLUSH, SS26, style_Thea Sweater, color_pale blush, collection_ready-to-wear, collection_knitwear, collection_tops, collection_new-arrivals",FALSE,Size,XS,,Color,Pale Blush,,,,,840483423572,999.9897389,shopify,deny,manual,695,,TRUE,TRUE,,,,,840483423572,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8830_KWS068_000689_PALE_BLUSH_FINAL_ghost_00855.jpg,1,,FALSE,Thea Sweater in Pale Blush,The Thea Sweater is an effortless wardrobe building block. It's made from a soft merino wool-blend woven with touches of alpaca for a textural finish. Note the ribbed edges and button front fastenings.,Apparel & Accessories > Clothing > Shirts & Tops,female,adult,,NEW,FALSE,KNIT TOP,S126,S126-8830 KWS068 000689 PALE BLUSH,,,,red,- 50% Extrafine Merino Wool 20% Alpaca 30% Polyamide. Made In Italy,,active
thea-sweater-pale-blush,,,,,,,,,S,,,Pale Blush,,,,,840483423589,999.9897389,shopify,deny,manual,695,,TRUE,TRUE,,,,,840483423589,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8830_KWS068_000689_PALE_BLUSH_FINAL_hero_image__020.jpg,2,,,,,,,,,,,,,,,,,,,,
thea-sweater-pale-blush,,,,,,,,,M,,,Pale Blush,,,,,840483423596,999.9897389,shopify,deny,manual,695,,TRUE,TRUE,,,,,840483423596,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8830_KWS068_000689_PALE_BLUSH_FINAL_model_image_1_005.jpg,3,,,,,,,,,,,,,,,,,,,,
thea-sweater-pale-blush,,,,,,,,,L,,,Pale Blush,,,,,840483423602,999.9897389,shopify,deny,manual,695,,TRUE,TRUE,,,,,840483423602,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8830_KWS068_000689_PALE_BLUSH_FINAL_model_image_1_029.jpg,4,,,,,,,,,,,,,,,,,,,,
thea-sweater-pale-blush,,,,,,,,,XL,,,Pale Blush,,,,,840483423619,999.9897389,shopify,deny,manual,695,,TRUE,TRUE,,,,,840483423619,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8830_KWS068_000689_PALE_BLUSH_FINAL_model_image_2_034.jpg,5,,,,,,,,,,,,,,,,,,,,
thea-sweater-pale-blush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8830_KWS068_000689_PALE_BLUSH_FINAL_model_image_3_039.jpg,6,,,,,,,,,,,,,,,,,,,,
thea-sweater-pale-blush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8830_KWS068_000689_PALE_BLUSH_FINAL_model_image_4_044.jpg,7,,,,,,,,,,,,,,,,,,,,
thea-sweater-berry-blue,Thea Sweater,<p>The Thea Sweater is an effortless wardrobe building block. It's made from a soft merino wool-blend woven with touches of alpaca for a textural finish. Note the ribbed edges and button front fastenings.</p>,Altuzarra,Apparel & Accessories > Clothing > Shirts & Tops,KNIT TOP,"DTC BUY, S126, S126-8830 KWS068 000406 BERRY BLUE, SS26, style_Thea Sweater, color_berry blue, collection_ready-to-wear, collection_knitwear, collection_tops, collection_new-arrivals",FALSE,Size,XS,,Color,Berry Blue,,,,,840483423527,999.9897389,shopify,deny,manual,695,,TRUE,TRUE,,,,,840483423527,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8830_KWS068_000406_BERRY_BLUE_FINAL_ghost_00758.jpg,1,,FALSE,Thea Sweater in Berry Blue,The Thea Sweater is an effortless wardrobe building block. It's made from a soft merino wool-blend woven with touches of alpaca for a textural finish. Note the ribbed edges and button front fastenings.,Apparel & Accessories > Clothing > Shirts & Tops,female,adult,,NEW,FALSE,KNIT TOP,S126,S126-8830 KWS068 000406 BERRY BLUE,,,,navy,- 50% Extrafine Merino Wool 20% Alpaca 30% Polyamide. Made In Italy,,active
thea-sweater-berry-blue,,,,,,,,,S,,,Berry Blue,,,,,840483423534,999.9897389,shopify,deny,manual,695,,TRUE,TRUE,,,,,840483423534,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8830_KWS068_000406_BERRY_BLUE_FINAL_hero_image__017.jpg,2,,,,,,,,,,,,,,,,,,,,
thea-sweater-berry-blue,,,,,,,,,M,,,Berry Blue,,,,,840483423541,999.9897389,shopify,deny,manual,695,,TRUE,TRUE,,,,,840483423541,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8830_KWS068_000406_BERRY_BLUE_FINAL_model_image_1_030.jpg,3,,,,,,,,,,,,,,,,,,,,
thea-sweater-berry-blue,,,,,,,,,L,,,Berry Blue,,,,,840483423558,999.9897389,shopify,deny,manual,695,,TRUE,TRUE,,,,,840483423558,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8830_KWS068_000406_BERRY_BLUE_FINAL_model_image_2_035.jpg,4,,,,,,,,,,,,,,,,,,,,
thea-sweater-berry-blue,,,,,,,,,XL,,,Berry Blue,,,,,840483423565,999.9897389,shopify,deny,manual,695,,TRUE,TRUE,,,,,840483423565,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8830_KWS068_000406_BERRY_BLUE_FINAL_model_image_3_042.jpg,5,,,,,,,,,,,,,,,,,,,,
thea-sweater-berry-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8830_KWS068_000406_BERRY_BLUE_FINAL_model_image_4_049.jpg,6,,,,,,,,,,,,,,,,,,,,
banks-top-ivory,Banks Top,<p>The Banks top perfectly captures the off-kilter aesthetic of Altuzarra's SS26 collection. It's knitted from an extrafine merino blend to a cropped silhouette with voluminous capped sleeves and ribbed trims.</p>,Altuzarra,Apparel & Accessories > Clothing > Shirts & Tops,KNIT TOP,"DTC BUY, S126, S126-8415 KWS083 000102 IVORY, SS26, style_Banks Top, color_ivory, collection_ready-to-wear, collection_knitwear, collection_tops, collection_new-arrivals",FALSE,Size,XS,,Color,Ivory,,,,,840483422377,999.9897389,shopify,deny,manual,595,,TRUE,TRUE,,,,,840483422377,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8415_KWS083_000102_IVORY_FINAL_ghost_0482.jpg,1,,FALSE,Banks Top in Ivory,The Banks top perfectly captures the off-kilter aesthetic of Altuzarra's SS26 collection. It's knitted from an extrafine merino blend to a cropped silhouette with voluminous capped sleeves and ribbed trims.,Apparel & Accessories > Clothing > Shirts & Tops,female,adult,,NEW,FALSE,KNIT TOP,S126,S126-8415 KWS083 000102 IVORY,,,,ivory,- 78% Extrafine Merino Wool 22% Polyamide. Made In Italy,,active
banks-top-ivory,,,,,,,,,S,,,Ivory,,,,,840483422384,999.9897389,shopify,deny,manual,595,,TRUE,TRUE,,,,,840483422384,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8415_KWS083_000102_IVORY_FINAL_hero_image__039.jpg,2,,,,,,,,,,,,,,,,,,,,
banks-top-ivory,,,,,,,,,M,,,Ivory,,,,,840483422391,999.9897389,shopify,deny,manual,595,,TRUE,TRUE,,,,,840483422391,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8415_KWS083_000102_IVORY_FINAL_model_image_1_003.jpg,3,,,,,,,,,,,,,,,,,,,,
banks-top-ivory,,,,,,,,,L,,,Ivory,,,,,840483422407,999.9897389,shopify,deny,manual,595,,TRUE,TRUE,,,,,840483422407,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8415_KWS083_000102_IVORY_FINAL_model_image_2_009.jpg,4,,,,,,,,,,,,,,,,,,,,
banks-top-ivory,,,,,,,,,XL,,,Ivory,,,,,840483422414,999.9897389,shopify,deny,manual,595,,TRUE,TRUE,,,,,840483422414,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8415_KWS083_000102_IVORY_FINAL_model_image_3_015.jpg,5,,,,,,,,,,,,,,,,,,,,
